date,store,status,notes
13/05/26,ניצת הדובדבן מתחם מול 7,ביקור,
13/05/26,ניצת הדובדבן ביג באר שבע,ביקור,
13/05/26,מכבי פארם,לא הגעתי,לא הספקתי
14/05/26,ניצת הדובדבן עפולה,ביקור,
14/05/26,מכבי פארם,עפולה,ביקור
